"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11900,"LAL@CLE 12/14/2017 08:00PM ET",57.411,"CLE","LAL",60.43,60.3,68.5
"SF/PF","Kevin Durant",11300,"DAL@GS 12/14/2017 10:30PM ET",47.793,"GS","DAL",52.39,53,65.25
"PG/SG","Stephen Curry",9300,"DAL@GS 12/14/2017 10:30PM ET",46.924,"GS","DAL",0,0,0
"C","Karl-Anthony Towns",9100,"SAC@MIN 12/14/2017 08:00PM ET",42.295,"MIN","SAC",46.01,46.6,69.5
"SG","Jimmy Butler",8700,"SAC@MIN 12/14/2017 08:00PM ET",37.76,"MIN","SAC",43.45,43.8,51.25
"PF/C","Kevin Love",7900,"LAL@CLE 12/14/2017 08:00PM ET",38.037,"CLE","LAL",39.75,40.7,54.75
"PF/C","Draymond Green",7700,"DAL@GS 12/14/2017 10:30PM ET",35.94,"GS","DAL",0,0,0
"PG","Lonzo Ball",7000,"LAL@CLE 12/14/2017 08:00PM ET",32.644,"LAL","CLE",35.62,34.2,43.5
"SG","Klay Thompson",6900,"DAL@GS 12/14/2017 10:30PM ET",33.402,"GS","DAL",36.41,35.6,31.75
"PF/C","Zach Randolph",6800,"SAC@MIN 12/14/2017 08:00PM ET",29.26,"SAC","MIN",30.95,28.5,28.75
"SF/PF","Harrison Barnes",6700,"DAL@GS 12/14/2017 10:30PM ET",32.313,"DAL","GS",33.56,31.7,29.25
"PG","Isaiah Thomas",6500,"LAL@CLE 12/14/2017 08:00PM ET",0,"CLE","LAL",0,0,0
"SG/SF","Brandon Ingram",6500,"LAL@CLE 12/14/2017 08:00PM ET",29.75,"LAL","CLE",32.88,32.2,45
"PG","Jeff Teague",6400,"SAC@MIN 12/14/2017 08:00PM ET",31.365,"MIN","SAC",30.76,31.4,24.5
"SF/PF","Andrew Wiggins",6200,"SAC@MIN 12/14/2017 08:00PM ET",29.571,"MIN","SAC",29.67,28.9,24.25
"SG","Kentavious Caldwell-Pope",6000,"LAL@CLE 12/14/2017 08:00PM ET",28.052,"LAL","CLE",0,0,0
"PF/C","Taj Gibson",5900,"SAC@MIN 12/14/2017 08:00PM ET",26.902,"MIN","SAC",29.79,29.1,22.5
"PG/SG","JJ Barea",5600,"DAL@GS 12/14/2017 10:30PM ET",25.375,"DAL","GS",29.67,27.6,0
"SF/PF","Kyle Kuzma",5500,"LAL@CLE 12/14/2017 08:00PM ET",28.3,"LAL","CLE",24.87,25.4,28.75
"PG/SG","Dwyane Wade",5300,"LAL@CLE 12/14/2017 08:00PM ET",24.635,"CLE","LAL",25.37,24.2,21
"SG/SF","Buddy Hield",5200,"SAC@MIN 12/14/2017 08:00PM ET",22.42,"SAC","MIN",24.17,23.5,14.25
"PF/C","Julius Randle",5100,"LAL@CLE 12/14/2017 08:00PM ET",24.721,"LAL","CLE",26.71,26.7,23.5
"PF/C","Willie Cauley-Stein",5100,"SAC@MIN 12/14/2017 08:00PM ET",23.927,"SAC","MIN",25.94,26,17.25
"PG/SG","Jordan Clarkson",5000,"LAL@CLE 12/14/2017 08:00PM ET",24.269,"LAL","CLE",31.19,31.7,17.75
"PG/SG","Dennis Smith",4900,"DAL@GS 12/14/2017 10:30PM ET",26.967,"DAL","GS",0,0,0
"C","Brook Lopez",4700,"LAL@CLE 12/14/2017 08:00PM ET",25.529,"LAL","CLE",21.27,20.2,13.75
"SG/SF","Wesley Matthews",4600,"DAL@GS 12/14/2017 10:30PM ET",23.393,"DAL","GS",25.4,24.3,13.5
"PG/SG","Yogi Ferrell",4600,"DAL@GS 12/14/2017 10:30PM ET",18.232,"DAL","GS",24.81,22.8,18.75
"SF/PF","Larry Nance",4500,"LAL@CLE 12/14/2017 08:00PM ET",23.283,"LAL","CLE",20.46,21,29.5
"PF/C","Dirk Nowitzki",4400,"DAL@GS 12/14/2017 10:30PM ET",22.643,"DAL","GS",24.13,23,33.25
"PG","De'Aaron Fox",4400,"SAC@MIN 12/14/2017 08:00PM ET",20.852,"SAC","MIN",20.14,19.2,4
"SF/PF","Jeff Green",4300,"LAL@CLE 12/14/2017 08:00PM ET",19.054,"CLE","LAL",20.04,20.7,16.25
"SG/SF","Andre Iguodala",4200,"DAL@GS 12/14/2017 10:30PM ET",18.125,"GS","DAL",23.17,22.7,20.75
"PG/SG","George Hill",4200,"SAC@MIN 12/14/2017 08:00PM ET",19.26,"SAC","MIN",20.22,19.1,24
"SG/SF","JR Smith",4100,"LAL@CLE 12/14/2017 08:00PM ET",18.036,"CLE","LAL",19.71,19.2,19.5
"PG/SG","Seth Curry",4000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL","GS",0,0,0
"PG/SG","Frank Mason III",3900,"SAC@MIN 12/14/2017 08:00PM ET",15.95,"SAC","MIN",0,20.4,15.5
"SG/SF","Bogdan Bogdanovic",3900,"SAC@MIN 12/14/2017 08:00PM ET",18.594,"SAC","MIN",19.25,21,21.5
"PG/SG","Shaun Livingston",3800,"DAL@GS 12/14/2017 10:30PM ET",11.09,"GS","DAL",16.49,15.6,9.75
"SG/SF","Kyle Korver",3800,"LAL@CLE 12/14/2017 08:00PM ET",17.375,"CLE","LAL",16,16.6,15.75
"PF/C","Gorgui Dieng",3800,"SAC@MIN 12/14/2017 08:00PM ET",15.76,"MIN","SAC",17.66,17.8,27
"PF/C","Dwight Powell",3700,"DAL@GS 12/14/2017 10:30PM ET",16.398,"DAL","GS",15.8,16.5,15.5
"SF/PF","Jae Crowder",3700,"LAL@CLE 12/14/2017 08:00PM ET",15.938,"CLE","LAL",16.18,18,14
"PF/C","Tristan Thompson",3700,"LAL@CLE 12/14/2017 08:00PM ET",12.25,"CLE","LAL",7.11,0,0
"PF/C","David West",3600,"DAL@GS 12/14/2017 10:30PM ET",16.606,"GS","DAL",19.27,20.3,22.75
"PF/C","Jordan Bell",3600,"DAL@GS 12/14/2017 10:30PM ET",12.534,"GS","DAL",25.77,26.2,30.5
"PG","Derrick Rose",3600,"LAL@CLE 12/14/2017 08:00PM ET",19.786,"CLE","LAL",0,0,0
"SG","Jamal Crawford",3600,"SAC@MIN 12/14/2017 08:00PM ET",14.875,"MIN","SAC",16.32,14.7,8.5
"PG/SG","Garrett Temple",3600,"SAC@MIN 12/14/2017 08:00PM ET",15.74,"SAC","MIN",13.04,11.6,11.75
"SF/PF","Omri Casspi",3500,"DAL@GS 12/14/2017 10:30PM ET",14.01,"GS","DAL",20.04,22.1,39.75
"PF","Maxi Kleber",3500,"DAL@GS 12/14/2017 10:30PM ET",11.841,"DAL","GS",20.1,18,10.75
"PG/SG","Iman Shumpert",3500,"LAL@CLE 12/14/2017 08:00PM ET",12.192,"CLE","LAL",0,0,0
"SF/PF","Nemanja Bjelica",3500,"SAC@MIN 12/14/2017 08:00PM ET",13.514,"MIN","SAC",0,0,0
"SF/PF","Jakarr Sampson",3500,"SAC@MIN 12/14/2017 08:00PM ET",13.75,"SAC","MIN",0,0,0
"SG/SF","Shabazz Muhammad",3500,"SAC@MIN 12/14/2017 08:00PM ET",7.25,"MIN","SAC",0,0,0
"PG/SG","Tyus Jones",3500,"SAC@MIN 12/14/2017 08:00PM ET",12.589,"MIN","SAC",10.34,10.2,8.25
"PG/SG","Devin Harris",3400,"DAL@GS 12/14/2017 10:30PM ET",16.239,"DAL","GS",16.73,17.1,28.5
"SG","Nick Young",3400,"DAL@GS 12/14/2017 10:30PM ET",10.759,"GS","DAL",0,0,0
"PG/SF","Patrick McCaw",3400,"DAL@GS 12/14/2017 10:30PM ET",9.033,"GS","DAL",16.19,14.2,7.5
"C","Ivica Zubac",3400,"LAL@CLE 12/14/2017 08:00PM ET",1.333,"LAL","CLE",0,0,0
"PF/C","Skal Labissiere",3400,"SAC@MIN 12/14/2017 08:00PM ET",15.39,"SAC","MIN",10.67,11.8,10.75
"C","Zaza Pachulia",3300,"DAL@GS 12/14/2017 10:30PM ET",14.6,"GS","DAL",0,0,0
"PG","Quinn Cook",3300,"DAL@GS 12/14/2017 10:30PM ET",8.042,"GS","DAL",8.31,9.3,6
"PG","Jose Calderon",3300,"LAL@CLE 12/14/2017 08:00PM ET",8.868,"CLE","LAL",12.24,14,35.25
"C","Kosta Koufos",3300,"SAC@MIN 12/14/2017 08:00PM ET",15.694,"SAC","MIN",15.49,13.1,24
"SG/SF","Justin Jackson",3300,"SAC@MIN 12/14/2017 08:00PM ET",9.986,"SAC","MIN",0,0,7
"PF/C","Channing Frye",3200,"LAL@CLE 12/14/2017 08:00PM ET",9.798,"CLE","LAL",12.33,13.2,3.25
"C","Salah Mejri",3100,"DAL@GS 12/14/2017 10:30PM ET",11.826,"DAL","GS",9.32,9,0
"PF/C","Josh McRoberts",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL","GS",0,0,0
"C","JaVale McGee",3000,"DAL@GS 12/14/2017 10:30PM ET",8.844,"GS","DAL",7.66,0,2
"C","Jeff Withey",3000,"DAL@GS 12/14/2017 10:30PM ET",3.781,"DAL","GS",0,0,3.25
"SF","Dorian Finney-Smith",3000,"DAL@GS 12/14/2017 10:30PM ET",5.875,"DAL","GS",0,0,0
"PF","Nerlens Noel",3000,"DAL@GS 12/14/2017 10:30PM ET",12.132,"DAL","GS",0,0,0
"C","Damian Jones",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"GS","DAL",0,0,0
"PF/C","Johnathan Motley",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL","GS",0,0,7.25
"SG","Antonius Cleveland",3000,"DAL@GS 12/14/2017 10:30PM ET",5.156,"DAL","GS",3.81,5.6,3.25
"SF/PF","Kevon Looney",3000,"DAL@GS 12/14/2017 10:30PM ET",8.512,"GS","DAL",5.29,0,2.25
"PF","Chris Boucher",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"GS","DAL",0,0,0
"SF/PF","Luol Deng",3000,"LAL@CLE 12/14/2017 08:00PM ET",5,"LAL","CLE",0,0,0
"C","Andrew Bogut",3000,"LAL@CLE 12/14/2017 08:00PM ET",7.533,"LAL","CLE",0,0,0
"SG/SF","Corey Brewer",3000,"LAL@CLE 12/14/2017 08:00PM ET",6.712,"LAL","CLE",9.79,8.3,7.5
"SG/SF","John Holland",3000,"LAL@CLE 12/14/2017 08:00PM ET",1.833,"CLE","LAL",0,0,0
"PG/SG","Vander Blue",3000,"LAL@CLE 12/14/2017 08:00PM ET",0.938,"LAL","CLE",0,0,0
"PG/SG","Alex Caruso",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.75,"LAL","CLE",0,0,0
"PG","London Perrantes",3000,"LAL@CLE 12/14/2017 08:00PM ET",0,"CLE","LAL",0,0,0
"PG/SG","Josh Hart",3000,"LAL@CLE 12/14/2017 08:00PM ET",8.095,"LAL","CLE",12.45,12.9,32
"PG/SG","Tyler Ennis",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.396,"LAL","CLE",0,0,0
"SG/SF","Cedi Osman",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.958,"CLE","LAL",3.01,0,6
"PF/C","Thomas Bryant",3000,"LAL@CLE 12/14/2017 08:00PM ET",0,"LAL","CLE",0,0,0
"PF/C","Ante Zizic",3000,"LAL@CLE 12/14/2017 08:00PM ET",3.775,"CLE","LAL",0,0,0
"SG/SF","Vince Carter",3000,"SAC@MIN 12/14/2017 08:00PM ET",7.426,"SAC","MIN",2.7,0,15
"PG/SG","Aaron Brooks",3000,"SAC@MIN 12/14/2017 08:00PM ET",3.958,"MIN","SAC",0,0,7.75
"C","Cole Aldrich",3000,"SAC@MIN 12/14/2017 08:00PM ET",1.15,"MIN","SAC",0,0,4
"PF","Jack Cooley",3000,"SAC@MIN 12/14/2017 08:00PM ET",4.75,"SAC","MIN",0,0,0
"SG/SF","Anthony Brown",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"MIN","SAC",0,0,0
"SG/SF","Marcus Georges-Hunt",3000,"SAC@MIN 12/14/2017 08:00PM ET",0.917,"MIN","SAC",0,0,7.75
"C","Justin Patton",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"MIN","SAC",0,0,0
"SG/SF","Malachi Richardson",3000,"SAC@MIN 12/14/2017 08:00PM ET",6.979,"SAC","MIN",0,0,0
"C","Georgios Papagiannis",3000,"SAC@MIN 12/14/2017 08:00PM ET",6.5,"SAC","MIN",0,0,0
"PF/C","Harry Giles",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"SAC","MIN",0,0,0
